Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,Class
20153.379,2909.179,1388.649,2481.957,580.507,2
7281.289,2307.221,932.99,1582.304,345.063,2
8280.468,1938.46,668.839,1147.929,284.772,2
13711.719,2940.219,1929.984,3508.924,774.418,2
19879.401,3050.716,1457.875,2047.268,403.001,2
12105.754,3370.89,2219.665,5065.484,1265.138,2
11786.354,2605.045,1629.69,3244.296,654.257,2
7866.116,2325.165,1438.225,2347.25,441.055,2
8513.821,2639.534,1282.231,2243.912,406.213,2
7321.55,1892.883,947.359,1639.268,307.36,2
13009.772,2565.715,1536.119,2136.384,449.598,2
7415.908,1855.591,870.99,1302.778,252.584,2
12845.526,3811.206,2357.543,4831.954,1077.038,2
9064.368,3289.752,1226.367,2790.26,582.278,2
7876.359,2164.698,1001.425,1949.892,446.682,2
7027.699,2533.011,1196.434,2854.229,575.302,2
9205.015,2649.65,1249.614,2597.125,551.806,2
9052.936,2698.549,1220.491,2263.643,510.979,2
9560.517,2711.265,1343.202,2279.394,441.265,2
6625.099,2370.606,1275.443,2107.053,433.772,2
12018.145,3162.346,2043.44,4133.563,973.492,2
11858.826,3770.02,2050.834,4209.061,1055.797,2
8672.438,2713.268,1409.857,2623.475,573.678,2
7130.331,2355.062,1377.461,3004.013,510.315,2
7001.957,1824.151,1084.115,1886.122,478.164,2
14038.183,3480.06,2097.397,4181.836,934.805,2
8782.345,2679.433,1420.707,2737.5,611.748,2
10648.135,3024.922,2165.799,4679.297,1077.812,2
7920.634,2361.831,1193.758,2603.953,524.331,2
7864.182,2609.296,1117.8,2195.437,429.173,2
10177.611,3108.959,1447.527,2828.764,591.339,2
7609.137,3962.397,2673.685,5242.839,1334.898,2
14961.498,2751.516,2091.857,3040.629,587.037,2
11142.649,2702.136,1752.003,3254.184,546.785,2
12418.268,2618.784,1715.832,2754.856,712.366,2
9442.656,2958.452,1812.492,2963.882,554.802,2
11968.754,3091.394,1744.619,2798.017,631.965,2
16637.542,3320.041,2527.328,5124.757,1058.419,2
8007.941,2455.833,1547.143,3138.857,686.608,2
8779.654,2483.216,1212.137,2509.622,594.835,2
8693.793,2795.919,1382.481,2839.641,518.293,2
5978.105,2209.839,1388.031,2193.354,377.852,2
80488.499,4688.794,2879.207,5404.672,1219.757,2
13728.962,2564.599,1384.589,1707.455,337.654,2
8266.483,2405.177,957.148,1189.409,275.688,2
7781.607,1998.192,1136.606,1215.345,283.304,2
17215.604,2532.764,1266.834,1611.555,343.301,2
23849.787,3871.631,2052.796,2648.894,566.79,2
10539.068,2399.641,1239.785,1631.3,365.695,2
14600.487,3008.771,1690.106,1663.254,408.279,2
21995.849,3306.222,2016.612,3565.295,1008.54,2
32183.849,3977.301,1795.592,2812.737,728.627,2
11531.605,2856.885,1161.349,1478.717,311.172,2
24115.183,3783.555,1923.055,4184.859,951.072,2
20019.353,4821.855,2153.861,5399.302,1357.226,2
10228.712,1884.896,728.622,1755.909,349.892,2
41296.879,4056.714,2185.438,2527.62,529.165,2
18133.12,3972.655,1848.983,2421.067,666.625,2
9895.386,2678.156,1023.698,1592.009,337.824,2
50685.686,6589.229,2880.747,3784.054,685.36,2
7785.149,3035.545,1976.395,4920.592,1068.796,2
9957.99,3049.896,1362.414,3000.899,585.95,2
11429.843,3040.235,1779.357,3041.613,575.665,2
8628.15,2480.229,1054.202,1907.979,408.756,2
9683.138,2852.886,1266.289,1870.39,386.982,2
10570.751,3297.964,1660.493,2961.648,591.199,2
12928.236,3057.789,1274.125,1643.443,340.729,2
14319.989,2692.929,866.372,1187.358,222.922,2
14810.62,2646.701,1157.285,1445.076,415.018,2
11498.389,2028.872,1070.728,1292.346,273.703,2
26826.859,2552.943,1355.461,1863.993,435.365,2
13751.385,2577.416,1663.319,3134.397,700.623,2
30262.982,3944.415,2229.588,4824.534,1147.232,2
9939.022,2046.492,843.765,1191.132,239.575,2
9770.588,2589.482,1209.415,1447.821,301.849,2
7540.769,1950.599,684.941,1043.888,209.942,2
38627.714,4254.137,2123.576,5839.439,1287.855,2
8561.639,2337.203,988.299,1406.752,313.006,2
9782.276,2640.888,1243.775,1602.373,381.856,2
9602.148,2467.461,1110.429,1354.801,329.016,2
11280.876,2138.349,1069.503,1459.513,285.028,2
10850.368,2949.859,1372.085,1756.123,368.652,2
10076.413,2548.867,1352.564,1609.491,314.079,2
12343.345,2927.419,1234.002,1798.929,438.41,2
15381.425,4182.062,1709.771,2099.86,453.689,2
27654.641,4592.018,2228.478,3307.054,763.153,2
8521.319,2490.565,1045.606,1431.346,266.602,2
7404.808,2459.894,1151.887,1459.022,275.508,2
68656.241,5492.33,2105.462,2951.776,575.491,2
19832.851,3762.707,2184.19,4917.959,1350.385,2
13581.353,3277.697,1449.116,1852.486,457.303,2
