Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,MedianNN,MeanNN,SDNN,MedianX,MeanX,SDX,Class
19311.508,2280.571,876.747,1885.613,398.437,701.5,691.083,52.462,40.32,40.307,0.077,0
21203.488,2193.279,835.902,1831.656,399.869,710.5,711.167,33.573,40.32,40.323,0.112,0
18152.133,1964.368,1133.393,2070.442,383.772,690.5,701.25,42.431,40.32,40.279,0.092,0
19361.165,2031.708,768.352,1928.723,392.711,701,706.25,38.467,40.32,40.336,0.079,0
8183.832,1754.888,743.397,1693.084,362.143,711,707.667,48.743,40.32,40.336,0.079,0
21809.47,2374.534,916.299,2023.217,439.892,740.5,729.5,38.578,40.32,40.351,0.088,0
13196.322,2071.608,983.982,1797.183,368.589,702,711.167,34.119,40.395,40.425,0.117,0
10868.163,2044.473,678.707,1438.596,319.148,741.5,734.5,39.557,40.32,40.321,0.065,0
14520.774,1716.397,788.105,1382.598,310.216,720.5,716.167,36.108,40.32,40.352,0.128,0
21059.976,2210.117,795.961,2020.377,471.612,741,737.917,29.398,40.32,40.322,0.092,0
14283.228,2163.076,1047.11,2110.865,425.367,721,719.333,38.786,40.32,40.395,0.101,0
6439.519,1726.393,929.751,1857.565,326.773,742,738.083,34.381,40.32,40.336,0.079,0
24419.805,2321.184,910.599,1759.456,371.089,730.5,731.167,36.106,40.32,40.307,0.077,0
28314.34,2255.333,1343.416,2272.153,459.259,700.5,691.167,45.208,40.32,40.366,0.094,0
22458.911,2545.554,851.898,2006.335,467.868,601.5,617.75,34.395,40.32,40.321,0.065,0
25053.179,2436.723,1011.313,2059.388,437.971,681,671.083,61.415,40.32,40.337,0.102,0
13823.005,2320.459,984.49,2089.144,418.845,671,671.083,41.616,40.32,40.38,0.073,0
11993.984,2007.994,1176.313,2372.533,558.873,711.5,722.75,46.447,40.32,40.279,0.092,0
20442.875,2049.951,977.836,1683.032,383.499,701.5,706,30.962,40.32,40.308,0.101,0
13222.833,1902.104,756.095,1230.419,251.933,711,706.25,29.544,40.25,40.265,0.095,0
10834.634,2012.851,693.362,1063.101,254.068,681.5,704.417,38.237,40.32,40.322,0.092,0
31469.69,2429.757,949.778,1735.326,430.745,681,686,37.399,40.32,40.335,0.045,0
6323.398,1596.932,692.372,1192.815,289.816,710.5,712.917,32.382,40.32,40.351,0.088,0
7191.587,2272.214,882.79,1556.813,392.882,801,849.2,93.236,62.17,62.215,0.069,1
5835.637,1587.915,665.748,1307.014,257.542,1020,993,104.194,62.17,62.155,0.045,1
6019.844,2774.115,843.34,1532.31,333.941,922,969.4,76.904,62.17,62.11,0.073,1
5539.57,1509.265,616.657,1318.664,250.473,941,953.2,39.235,62.17,62.2,0.09,1
6421.807,1840.989,777.407,1664.206,339.173,941,933,68.355,62.17,62.17,0.067,1
6332.354,1771.252,743.926,1393.379,329.588,920,957.2,90.918,62.245,62.245,0.075,1
