Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,ECG,EMG,Class
17037.039,2006.283,895.345,2135.957,403.407,785.3,41.715,1
13337.917,1742.18,769.519,2071.408,421.557,831.1,41.678,1
18851.853,2268.034,1186.341,2793.539,577.282,781.3,41.64,1
16062.215,1871.124,911.458,2674.348,619.113,783.2,41.677,1
14562.87,2331.28,1142.418,2967.227,624.387,737.2,41.608,1
25124.495,1879.317,1237.736,3429.038,712.919,731.2,41.605,1
20876.254,2381.006,1057.001,3064.366,664.729,819.3,41.462,1
11579.788,2051.621,972.915,2180.154,408.723,837.2,41.642,1
11609.913,1953.343,1158.506,3073.06,668.223,811.3,41.425,1
16402.973,1811.019,900.937,1918.813,333.671,811.2,41.68,1
15141.661,1955.516,664.442,1762.177,317.391,783.1,41.57,1
13201.037,1501.509,1045.69,2533.895,517.546,805.2,41.5,1
13415.929,1949.391,894.483,1968.806,438.101,819.3,41.535,1
11054.033,1617.61,975.22,2292.727,412.3,825.1,41.498,1
17413.308,1781.944,890.909,2101.559,430.099,821.3,41.5,1
17538.002,2479.274,1203.768,2632.673,576.135,755.2,41.605,1
19648.338,2126.236,1222.272,2151.188,461.152,775.1,41.57,1
18844.071,1981.906,1263.012,2145.622,390.283,757.3,41.605,1
11983.613,2196.623,926.394,1849.591,402.083,793.2,41.06,1
14047.308,2003.206,895.808,1935.662,339.296,837.2,41.06,1
11751.435,2259.188,829.458,1907,455.242,783.1,41.06,1
14556.405,1860.512,947.622,1928.222,442.663,741.1,41.13,1
13260.006,1847.47,1248.184,2026.605,397.398,689,41.095,1
7414.281,1988.476,1078.856,2696.525,514.053,863.1,41.06,1
11337.723,2887.391,1174.072,2551.188,506.815,831.2,41.06,1
13054.669,2257.295,926.771,2043.563,385.014,821.2,53.593,1
15451.502,2418.621,1373.814,2316.136,469.855,889.1,57.918,1
15613.933,2228.014,1002.686,2536.455,483.875,813.1,57.955,1
14278.052,2638.575,1167.941,2676.481,479.861,807.1,58.028,1
13200.365,1939.65,893.364,1756.083,346.388,807.2,57.92,1
18574.66,2388.697,1389.147,2901.033,517.504,809.2,58.06,1
18674.969,2397.012,1096.193,2216.713,435.43,787.1,57.988,1
13263.272,1718.764,899.779,1552.962,291.237,787.2,57.918,1
9467.119,2008.762,821.295,1525.248,308.548,715,58.025,1
9821.687,1774.111,793.878,1522.738,281.717,791.2,58.028,1
9101.125,2035.584,851.625,1668.492,306.902,793.2,58.098,1
15112.593,2216.289,971.585,1587.603,352.601,735.4,57.99,1
15926.919,2392.496,1451.766,3745.345,647.614,771.3,57.475,1
10699.026,2231.347,976.254,2607.627,471.364,793.2,56.342,1
17015.504,2978.538,1253.596,2639.83,485.08,741.2,52.198,1
14577.976,2459.051,1082.895,2586.065,494.383,729.2,47.618,1
