Rdelta,Rtheta,Ralpha,Rbeta,MedianNN,MedianX,Class
0.540389226,0.163042382,0.091179597,0.175233917,751.5,42.82,1
0.561168681,0.158146927,0.065121778,0.179939222,731.5,42.085,1
0.710994549,0.106371243,0.050152514,0.111144337,881,41.64,1
0.713398416,0.094315003,0.056922794,0.114247797,821.5,42.375,1
0.633114091,0.145138504,0.064619138,0.132810625,780.5,49.34,1
0.600556694,0.147119994,0.064010872,0.156724036,771,53.08,1
0.602742537,0.143480766,0.069178469,0.157292507,801,54.91,1
0.651433262,0.128264519,0.065517918,0.131264424,842,55.425,1
0.559715451,0.147786808,0.084853357,0.179457923,821,55.795,1
0.659795508,0.117588743,0.056720911,0.140219419,810.5,56.01,1
0.557861696,0.151026969,0.088255769,0.172795282,880.5,56.16,1
0.6759182,0.114739644,0.066899497,0.119492986,882,56.45,1
0.571040493,0.142014871,0.085809986,0.169854636,831.5,56.595,1
0.628051455,0.128793477,0.05990352,0.155268202,881.5,56.67,1
0.66147361,0.104857033,0.061645526,0.14490283,811,56.74,1
0.710718884,0.10036525,0.054831349,0.112971091,881,56.815,1
0.64811119,0.123201079,0.054265255,0.147659834,891.5,57.04,1
0.584829125,0.172032308,0.060326729,0.152668549,841,57.04,1
0.636404469,0.131406225,0.056512144,0.14933529,831.5,57.04,1
0.666944738,0.14307594,0.054660941,0.113515827,831,41.79,1
0.777484975,0.102222031,0.035214773,0.071739318,861,50.37,1
0.645682436,0.196343241,0.06566466,0.074902657,891.5,56.82,1
0.682259647,0.164821962,0.052323981,0.082328111,811,57.33,1
0.725484212,0.136740171,0.04460863,0.07577787,851,55.205,1
0.746581901,0.120977386,0.039674505,0.078630376,781,52.42,1
0.715054706,0.127215651,0.046838622,0.091965837,791,50.66,1
0.800328732,0.078932701,0.0387349,0.067894986,731.5,49.12,1
0.776407038,0.092384499,0.044012436,0.072410914,851.5,47.14,1
0.540780832,0.153212337,0.065969299,0.193027351,871.5,45.97,1
0.725700809,0.129594749,0.04353116,0.083741323,870.5,45.16,1
0.652608386,0.181001436,0.058945565,0.083848948,801,44.43,1
0.704237021,0.140951152,0.051563183,0.081254604,880.5,44.06,1
0.705002087,0.127873019,0.053715779,0.093572453,871.5,43.55,1
0.664736831,0.163505097,0.065518757,0.087956703,900.5,43.33,1
0.588148561,0.200220848,0.068341859,0.11858541,771.5,43.035,1
0.637138062,0.173674528,0.064763208,0.10056448,851.5,42.745,1
0.67233705,0.138048457,0.062574542,0.104199826,871.5,42.525,1
0.667278781,0.162628756,0.053947566,0.092373184,841.5,42.08,1
0.717085933,0.129632535,0.049419517,0.086494545,832,42.08,1
0.561355459,0.231848045,0.070150422,0.108062897,851.5,41.94,1
0.703383123,0.130101443,0.053291171,0.095351539,841,41.57,1
0.730698144,0.125374767,0.046881666,0.078381775,891.5,41.425,1
0.735490013,0.120924784,0.046072743,0.081268542,910.5,41.35,1
0.738614919,0.130333571,0.044751294,0.068854858,901.5,41.13,1
0.731254739,0.152600528,0.03749706,0.063909317,921.5,41.13,1
0.757290805,0.120799827,0.04251132,0.065500171,881,42.595,1
0.78075281,0.08481412,0.035490766,0.080777357,811.5,44.79,1
0.727734208,0.129777979,0.048775399,0.077887247,831,49.78,1
0.713188341,0.147837696,0.052868416,0.071949545,662,52.785,1
0.652222775,0.170502643,0.058970469,0.097547661,891.5,54.47,1
0.733882068,0.116552433,0.04884616,0.082963234,841.5,56.52,1
0.707891004,0.117694551,0.069557939,0.08640382,811.5,57.55,1
0.814280515,0.086307851,0.032746782,0.053722824,831,58.36,1
0.729567247,0.130974442,0.049209977,0.073076355,820.5,58.65,1
0.744692251,0.111349762,0.046721894,0.078167979,831,58.065,1
0.720557121,0.129137681,0.049327573,0.084736688,861,57.035,1
0.713060239,0.138181118,0.052311001,0.079972173,791,56.23,1
0.755017125,0.103153162,0.042721131,0.08123827,801.5,54.33,1
0.736502267,0.099417453,0.049044052,0.092705976,831,51.17,1
0.768024924,0.09166387,0.046512094,0.08002609,890.5,48.755,1
0.775512251,0.083014143,0.043882419,0.07874287,871,47.14,1
0.724791436,0.117245433,0.049998836,0.090666802,821,45.455,1
0.690943996,0.086058291,0.057312699,0.136529027,820.5,44.28,1
0.753855799,0.095731991,0.043371568,0.086411942,902,43.77,1
0.715668089,0.104067098,0.045853307,0.113908448,861,43.185,1
0.756144673,0.081573856,0.046779189,0.097749717,920.5,42.815,1
